ID_Transacao;Data_Venda_Original;Data_Venda_Sanitizada;Medicamento_Original;Medicamento_Sanitizado;Quantidade_Original;Quantidade_Sanitizada;Preco_Unitario_Original;Preco_Unitario_Sanitizado;Lote;UF_Venda;Categoria_Terapeutica;Data_Validade;Canal_Venda;Representante_Comercial;Desconto_Aplicado;Status_Pedido;Status_Validacao
TRX30926;2025-03-13;2025-03-13;Comirnaty;Comirnaty;45 cx;45.0;513.79;513.79;LT-814;AM;Vacina;2026-10-22;Governo;joão oliveira;0.13;CANCELADO;Válido
TRX59823;2025-08-24;2025-08-24;Xeljanz ;Xeljanz;283;283.0;4432.99;4432.99;LT-384;rj;Imunologia;2026-05-14;Governo;Mariana Costa;0.3;Devolvido;Válido
TRX84341;22/11/2025;2025-11-22;comirnaty;Comirnaty;84;84.0;4630.69;4630.69;LT-997C;RS;Vacina;2026-08-13;Clínica Privada;carlos santos;;Devolvido;Válido
TRX11504;2025-07-24;2025-07-24;Xeljanz;Xeljanz;253 cx;253.0;592.76;592.76;LT-796A;PE;Imunologia;2027-04-25;Governo;Mariana Costa;0.16;Cancelado;Válido
TRX57576;2025-05-15;2025-05-15;Prevnar 13;Prevnar I3;55;55.0;3212.8;3212.8;LT-999C;MG;Vacina;2026-12-09;Hospital;joão oliveira;;Devolvido;Medicamento Desconhecido
TRX87128;2025-05-16;2025-05-16;Prevnar 13;Prevnar I3;476;476.0;1045.7;1045.7;LT-325A;RS;Vacina;2025-10-16;Rede de Farmácias;ana silva;1.9%;Faturado;Medicamento Desconhecido
TRX62772;2025-03-09;2025-09-03;Xeljanz;Xeljanz;125;125.0;R$ 992,53;992.53;LT-845C;PE;Imunologia;2027-09-09;Rede de Farmácias;João Oliveira;;Faturado;Válido
TRX69638;09/10/2025;2025-10-09;Eliquis;Eliquis;277;277.0;4635.52;4635.52;LT-392;CE;Cardiologia;;Clínica Privada;Mariana Costa;0.11;Faturado;Válido
TRX15209;10/06/2025;2025-06-10;Xeljanz ;Xeljanz;258;258.0;331.55;331.55;LT-734A;RJ;Imunologia;2026-03-07;Governo;Carlos Santos;0.28;Cancelado;Válido
TRX49651;2025-08-23;2025-08-23;Prevnar 13;Prevnar I3;235;235.0;544.91;544.91;LT-726A;MG;Vacina;2028-03-10;Hospital;Carlos Santos;0.09;Faturado;Medicamento Desconhecido
TRX66057;2025-06-25;2025-06-25;Comirnaty;Comirnaty;251;251.0;301.45;301.45;LT-674A;sp;Vacina;2027-09-22;Rede de Farmácias;Mariana Costa;0.29;Faturado;Válido
TRX63964;2025-01-21;2025-01-21;Ibrance;Ibrance;53;53.0;4379.83;4379.83;LT-921B;BA;Oncologia;2027-05-31;Hospital;Ana Silva;0.12;Faturado;Válido
TRX24208;2025-04-27;2025-04-27;Prevnar 13;Prevnar I3;143;143.0;1431.67;1431.67;LT-710; AM ;Vacina;2027-11-11;Clínica Privada;Fernanda Lima;0.05;Devolvido;Medicamento Desconhecido
TRX35144;2025-10-03;2025-03-10;Prevn@r 13;Prevnar I3;101;101.0;3337.98;3337.98;LT-530;RJ;Vacina;2026-09-14;Governo;Ana Silva;0.1;Faturado;Medicamento Desconhecido
TRX16057;2025-08-15;2025-08-15;Ibrance;Ibrance;462;462.0;3311.31;3311.31;LT-350;rs;Oncologia;2027-10-23;Clínica Privada;Fernanda Lima;;Devolvido;Válido
